job_title,work_year,employment_type,company_location,experience_level,salary_in_usd
Applied Scientist,2023,FT,US,EN,213660
Applied Scientist,2023,FT,US,EN,130760
Data Quality Analyst,2023,FT,NG,EN,100000
Compliance Data Analyst,2023,FT,NG,EN,30000
Applied Scientist,2023,FT,US,EN,204620
Applied Scientist,2023,FT,US,EN,110680
Machine Learning Engineer,2023,FT,US,EN,163196
Machine Learning Engineer,2023,FT,US,EN,145885
Research Scientist,2023,FT,US,EN,220000
Data Engineer,2023,FT,US,EN,85000
Data Engineer,2023,FT,US,EN,65000
Data Analyst,2023,FT,US,EN,75000
Data Analyst,2023,FT,US,EN,70000
Data Analyst,2023,FT,US,EN,85000
Data Analyst,2023,FT,US,EN,75000
Data Engineer,2023,FT,IN,EN,17022
Data Engineer,2023,FT,US,EN,85000
Data Engineer,2023,FT,US,EN,65000
Data Analyst,2023,FT,CA,EN,40663
Data Scientist,2023,FT,CA,EN,51753
Data Scientist,2023,FT,US,EN,130001
Data Scientist,2023,FT,US,EN,71907
Data Engineer,2023,FT,US,EN,85000
Data Engineer,2023,FT,US,EN,65000
Applied Scientist,2023,FT,US,EN,213660
Applied Scientist,2023,FT,US,EN,130760
BI Data Engineer,2023,FT,US,EN,60000
Data Engineer,2023,FT,US,EN,85000
Data Engineer,2023,FT,US,EN,65000
Research Engineer,2023,FT,US,EN,155000
Research Engineer,2023,FT,US,EN,125000
Research Engineer,2023,FT,US,EN,155000
Research Engineer,2023,FT,US,EN,125000
Data Analyst,2023,FT,US,EN,64200
Data Analyst,2023,FT,US,EN,56100
Data Engineer,2023,FT,US,EN,92700
Data Engineer,2023,FT,US,EN,61800
Business Data Analyst,2023,FT,ES,EN,21461
Research Engineer,2023,FT,US,EN,160000
Research Engineer,2023,FT,US,EN,120000
Autonomous Vehicle Technician,2023,FT,GH,EN,7000
Applied Machine Learning Scientist,2023,FT,DE,EN,42923
Data Scientist,2023,FT,US,EN,190000
Data Scientist,2023,FT,US,EN,120000
Data Scientist,2023,FT,CH,EN,121093
Data Analyst,2023,FT,US,EN,85000
Data Analyst,2023,FT,US,EN,75000
Data Engineer,2023,FT,US,EN,92700
Data Engineer,2023,FT,US,EN,61800
Data Engineer,2023,FT,US,EN,62000
Data Engineer,2023,FT,US,EN,58000
Data Engineer,2023,FT,US,EN,125000
Data Engineer,2023,FT,US,EN,90000
Data Analyst,2023,FT,US,EN,95000
Data Analyst,2023,FT,US,EN,70000
Data Engineer,2023,FT,US,EN,115100
Data Engineer,2023,FT,US,EN,73900
AI Programmer,2023,FT,AU,EN,70000
AI Developer,2023,FT,SE,EN,80000
Research Scientist,2023,FT,US,EN,150000
Research Scientist,2023,FT,US,EN,100000
Data Analyst,2023,FT,US,EN,75000
Data Analyst,2023,FT,US,EN,60000
Data Engineer,2023,FT,US,EN,125000
Data Engineer,2023,FT,US,EN,90000
AI Developer,2023,FT,DE,EN,214618
Data Analyst,2023,FT,US,EN,100000
Data Analyst,2023,FT,US,EN,150000
Data Analyst,2023,FT,US,EN,100000
Research Scientist,2023,FT,US,EN,150000
Research Scientist,2023,FT,US,EN,100000
Data Analyst,2023,FT,US,EN,85000
Data Analyst,2023,FT,US,EN,75000
Data Analyst,2023,FT,IN,EN,30000
Computer Vision Engineer,2023,FT,US,EN,220000
AI Developer,2023,FT,DE,EN,64385
Data Analyst,2023,FT,US,EN,55000
Data Analyst,2023,FT,US,EN,48000
Data Analyst,2023,PT,IN,EN,17779
Data Scientist,2023,FT,BR,EN,19522
Data Analyst,2023,FT,US,EN,75000
Data Analyst,2023,FT,US,EN,60000
Research Engineer,2023,FT,GB,EN,120000
Research Engineer,2023,FT,GB,EN,60000
Data Analyst,2023,FT,US,EN,60000
Data Analyst,2023,FT,US,EN,50000
Data Scientist,2023,FT,IN,EN,9727
Data Analyst,2023,FT,US,EN,85000
Data Analyst,2023,FT,US,EN,75000
Data Engineer,2023,FT,VN,EN,12000
Data Analyst,2023,FT,US,EN,55000
Data Analyst,2023,FT,US,EN,48000
Data Analyst,2023,FT,US,EN,100000
Data Scientist,2023,FT,US,EN,110000
Data Scientist,2023,FT,IN,EN,12767
Data Engineer,2023,FT,DE,EN,26827
BI Developer,2023,FT,US,EN,160000
BI Developer,2023,FT,US,EN,100000
Big Data Engineer,2023,FT,SE,EN,130000
Data Engineer,2023,FT,US,EN,160000
Data Engineer,2023,FT,US,EN,135000
Data Analyst,2023,FT,US,EN,30000
Data Scientist,2023,FT,US,EN,124234
Data Scientist,2023,FT,US,EN,74540
Data Scientist,2023,FT,IN,EN,12888
AI Developer,2023,FT,BA,EN,120000
Business Data Analyst,2023,FT,GR,EN,12877
Data Engineer,2023,FT,US,EN,160000
Data Engineer,2023,FT,US,EN,135000
Data Scientist,2023,FT,US,EN,50000
Data Engineer,2023,FT,US,EN,160000
Data Engineer,2023,FT,US,EN,135000
Research Engineer,2023,FT,US,EN,160000
Research Engineer,2023,FT,US,EN,120000
Deep Learning Engineer,2023,FT,US,EN,150000
Deep Learning Engineer,2023,FT,US,EN,120000
Data Engineer,2023,FT,US,EN,160000
Data Engineer,2023,FT,US,EN,135000
Data Scientist,2023,FT,US,EX,258750
Data Scientist,2023,FT,US,EX,185000
